gene,disease
ARX,X-Linked Lissencephaly With Abnormal Genitalia
ARX,Corpus Callosum Agenesis-Abnormal Genitalia Syndrome
ARX,Partington Syndrome
ARX,"Developmental And Epileptic Encephalopathy, 1"
ARX,"Intellectual Disability, X-Linked, With Or Without Seizures, Arx-Related"
ASAH1,Spinal Muscular Atrophy-Progressive Myoclonic Epilepsy Syndrome
ASAH1,Farber Lipogranulomatosis
ASB10,"Glaucoma 1, Open Angle, F"
ASCC1,Spinal Muscular Atrophy With Congenital Bone Fractures 2
ASCC1,Barrett Esophagus
